identificador,nro_encuesta,zona,asentamiento,ciudad,tipo_formacion,tipo_formacion_otro,origen,origen_otro,poblador_mas_antiguo,poblador_mas_nuevo,superficie,numero_lotes,medida_lotes,numero_aprox_viviendas,numero_aprox_viviendas_precarias,numero_aprox_viviendas_precarias_otro,multiples_familias,tipo_propiedad,tipo_propiedad_fiscal,esta_loteada,plano_aprobado_muni,plano_aprobado_sas,conocimiento_adjudicacion,encargado_asignacion_lotes,encargado_asignacion_lotes_otros,ultima_salida_familia,desalojos,titulo_lotes,proceso_de_transferencia_titulos,razon_proceso_legalizacion,razon_proceso_legalizacion_otro,apoyo_organizacion,institucion_encargada_legalizacion,instucion_encargada_legalizacion_otro,legalizacion_etapa,legalizacion_etapa_otro,lotes_vendidos,lotes_vendidos_responsables,lotes_vendidos_precio,lotes_vendidos_destino,lotes_vendidos_destino_otro,excretas,escretas_otros,agua_tipo_provision,agua_tipo_conexion_regular,agua_tipo_provision_otro,agua_cantidad_familias,energia_tipo_provision,energia_cantidad_medidor,agua,agua_tiempo_tramites,agua_ano_obtencion,energia,energia_tiempo_tramites,energia_ano_obtencion,eliminacion_basura_tipo,eliminacion_basura_tipo_otro,cocina_metodo,cocina_metodo_otro,vias_acceso_material,vias_acceso_material_otro,caminos_material,caminos_material_otro,caminos_estado,calles_delimitadas_nombradas,calles_delimitadas_nombradas_otro,alumbrado_publico,alumbrado_publico_otro,alumbrado_publico_extension,alumbrado_publico_extension_otro,ong_asistencia,ong_proyectos,ong_familias_beneficiadas,ong_inicio_trabajos,programas_viviendas,programas_viviendas_lista,programas_viviendas_tipo,comision_vecinal,cooperativa,comedores,junta_saneamiento,guarderias,otras_organizaciones_asentamiento,ninguna_organizacion,comision_vecinal_participantes,organizacion_social_otro,comision_vecinal_eleccion_mecanismo,ribera_rio,arroyo,cerro,basurero,lineas_alta_tension,barrio_residencial,barranco,cantera,humedales,fabricas,ruta,lugares_cercanos_otro,distanica_comisaria,distancia_fiscalia_barrial,distancia_puesto_salud,distancia_hospital_publico,distancia_escuela_publica,distancia_escuela_privada,distancia_colegio_nacional,distancia_universidad,distancia_instituto_tecnico,distancia_transporte_publico,distancia_supermercado,distancia_centro_comunitario,distancia_cancha_deportiva,distancia_iglesia,distancia_zona_verde,distancia_comite_politico,obs_generales_lugar,problema_violencia,problema_desempleo,problema_drogadiccion,problema_educacion,problema_agua_potable,problema_salud,problema_falta_energia,problema_eliminacion_basura,problema_camino,problema_union_vecinos,problema_otro,aspectos_positivos,observaciones_grales,datos_adjuntos,asentamiento_intervenido_techo
336,343,,12 de marzo,villa elisa,migracion por factores economicos,,ocupacion ilegal,,2014,menos de 1 año,108,26,170,91,91,,si,privada,,si,en proceso,no,si,comision vecinal,,menos de 1 mes,si,si,,ya se ha intentado legalizar y no se ha dado resultado,en proceso,si,municipalidad,,iniciando,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,aguateria privada,,6,irregular,0,si,entre 1 y 3 meses,,no,,,tira y quema,,leña y carbón,,tierra,,tierra,,malo,únicamente en la calle principal del barrio,,hechos por los vecinos,,en todas las calles del asentamiento,,si,municipalidad amedica,,,no,,techo,si,no,no,no,no,,no,10,,votacion veedor municipalidad,no,no,no,no,si,no,si,no,no,si,si,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),,,,,,,,,,,,1 legalicion terreno,"unidad, tranajo comunitario",,,no
335,9,3,11 de setiembre 2,villa elisa,reubicacion,,mediante una asociacion social,,2008,entre 5 y 10 años,18300,,250,76,70,,si,sas,,si,si,si,si,comision vecinal,,mas de 2 años,no,si,,,en proceso,si,sas,,finalizando,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,pozo comunal,,,100,ANDE,100,si,entre 1 y 3 meses,,si,mas de un año,,servicio de recolección pagado,,,,asfalto,,,,regular,únicamente en la calle principal del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,si,senavitat,tekopora,si,no,no,no,no,centro comunitario,no,90,,asamblea,no,si,no,no,no,no,no,no,no,si,si,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),caminos en tramos del asentamiento no se encuentran en buenas condiciones. eliminación de excretas falta mejorar el sistema que es a tambor,,,,,,,,,,"1 Vivienda, mejoras
2 Empedrado de calles",,"trabajo en equipo, ayuda de la comunidad",,,no
334,452,5,yvypoty,san antonio,reubicacion,,ocupacion ilegal,,2014,menos de 1 año,2500,50,170,50,45,,no,ns/nr,,si,no,no,ns/nr,un miembro del asentamiento,,menos de 1 mes,no,si,,,en proceso,no,,no inicio,,todavia no empezo la legalizacion,si,los propios vecinos,más de 500.000Gs,,para la comision,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,junta de saneamiento,,100,irregular,100,si,entre 1 a 3 meses,,no,,,,,gas,,tierra,,tierra,,bueno,no,,provistos por el estado,,únicamente en la calle principal,,no,,,,no,,"vivienda , energia electricia",si,no,no,si,no,,no,17,,asamblea,no,no,no,no,si,no,si,si,no,si,no,,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),se encuentra cerca de una conterra,,,,,,3,2,4,,,1 legalizacion del terano,la comunidad es muy unidos,,,no
333,479,21,yku yvu,san antonio,migracion por factores economicos,,ocupacion ilegal,,2005,menos de 1 año,22310,43,207,43,1,,si,sas,,si,si,si,si,sas,,1 año,no,si,4 a 6 años,,,si,sas,,,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,92,si,mas de un año,,si,entre 3 y 6 meses,,tira y quema,,gas,,ripio,,,,malo,en algunas de las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,si,tercera edad: transferencia monetaria,4,2014,si,sas,"algunos para arreglo de calles, comedor comunitario",si,no,no,si,no,,no,,,,si,si,no,no,no,no,si,no,no,si,si,,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),"hay un barranco cerca, donde se tira la basura con arroyo",,1,,,,,,2,3,,,algunos quieren progresar y estudiar en el snpp tambien algunos adultos,,,no
332,445,3,villa hule - villa china,san antonio,migracion por factores economicos,,ns/nr,,1985,menos de 1 año,,,,0,0,,no,privada,,no,no,no,no,propietario o particular,,de 3 a 6 meses,no,si,,desconocimiento del proceso,,no,,ninguna institucion,invalid,,no,los propios vecinos,mas de 1.000.000Gs,ns/nr,,inodoro conectado a fosa septica,,pozo privado,,,100,irregular,0,no,,,no,,,tira y quema,,leña y carbón,,tierra,,tierra,,malo,únicamente en la calle principal del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,"techo, tekopora",no,no,no,no,no,,no,,,,no,si,no,no,si,si,si,si,no,si,si,,a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),"arroyo contaminado, muy peligroso para los niños",,3,1,,,2,,,,,,,,,no
331,453,5,villa florinda,san antonio,migracion por factores economicos,reubicacion,e,privada,2015,menos de 1 año,10000,56,160,55,10,,si,fiscal,municipal,si,en proceso,no,ns/nr,un miembro del asentamiento,,no hubo abandono,si,si,,,en proceso,no,,,finalizando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,junta de saneamiento,,,,,no,,,no,,,tira y quema,,gas,,tierra,,,,bueno,,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,techo (vivienda),no,no,no,no,no,,no,,,asamblea votación,si,no,no,no,si,no,no,si,no,no,no,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,mas de 50 cuadras(+5 km),dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,mas de 50 cuadras(+5 km),dentro del asentamiento,mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),,,,,,,,,,,,1 vivienda 2 legalizar el terreno,,,,Programa de Vivienda
330,519,,santa rita 2,san antonio,migracion por factores economicos,,ocupacion ilegal,,1997,mas de 10 años,10000,36,170,36,0,,si,sas,,si,si,si,si,sas,,no hubo abandono,no,si,,,propiedad privada,si,sas,,finalizando,,no,,,,,,inodoro con pozo ciego,conexión regular,conexion regular,,100,ANDE,100,si,entre 3 y 6 meses,,si,entre 6 meses y un año,,servicio de recolección pagado,,gas,,tierra,,tierra,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,si,"servicio de agua, junto de saneamiento",todas,dos dias de trabajo,si,,trabajaron con la embajada de turaibi (?),si,no,no,si,no,,no,90%,,cada una año - se llama a asamblea,no,si,no,no,si,no,no,no,no,no,si,,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),,,,,,,,,,,,1 - falta de titulo,"union, lucha por la seguridad, resguardo",,,no
329,527,10,santa rita,san antonio,f,no contaban con viviendas,ocupacion ilegal,,2003,entre 5 y 10 años,15000,37,192,57,4,,si,sas,,si,si,si,si,sas,,mas de 2 años,no,si,mas de 7 años,,,,,,,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,junta de saneamiento,,100,ANDE,100,si,entre 3 y 6 meses,,si,entre 3 y 6 meses,,servicio de recolección pagado,,gas,,,,,,bueno,únicamente en la calle principal del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,2 años,si,,ampliacion de casas - senavitat,si,no,no,si,no,,no,50,,"asamblea, voto",no,no,no,no,si,no,no,no,no,no,si,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,2,,1,,,,,,"la union de los vecinos, limpieza en los barrios, guardia",,,no
328,447,4,santa librada 2,san antonio,migracion por factores economicos,,ocupacion de tierras cedidas por el estado,,2005,entre 2 y 3 años,4116,26,120,26,6,,si,municipal,,si,si,no,si,municipalidad,,mas de 2 años,si,si,,,propiedad privada,invalid,,,iniciando,,si,persona encargada,más de 100.000Gs,ns/nr,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,pozo comunal,,100,ANDE,50,si,mas de un año,,si,entre 6 meses y un año,,servicio de recolección gratuito,,,,tierra,,,,regular,en todas las calles del barrio,,no,,,,si,el proceso legal del terreno esta siendo ayudado por la municipalidad,todas,desde el inicio del asentamiento,no,,desague cloacal,si,no,no,no,no,,no,15,,por asamblea,si,no,no,no,si,si,si,si,si,si,si,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),"el frigorifico molesta con el olor, pero da trabajo a los pobladores, de igual forma hay problemas economicos y laborales",,,,,,,,,,1,fuentes de trabajo y viviendas,"trabajan e invierten en mejoras, por mas que son gente de escasos recursos",,,no
327,518,8,santa librada,san antonio,migracion por factores economicos,,ns/nr,,2000,entre 2 y 3 años,960,10,96,10,10,,si,fiscal,,no,no,no,si,comision vecinal,,no hubo abandono,no,si,,invalid,,si,sas,,en tramite con la sas,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,aguateria privada,,100,irregular,,si,entre 1 a 3 meses,,no,,,tira y quema,,leña y carbón,,,,tierra,,regular,en todas las calles del barrio,,provistos por el estado,,únicamente en la calle principal,,no,,,,no,,viviendas,si,no,no,no,no,,no,todos,,votacion,no,no,no,no,no,no,no,no,no,no,si,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),,,,,,,,,,,,viviendas,solidaridad - union - interes,,,no
259,39,2,primero de marzo,ñemby,vinculos familiares,,ocupacion de tierras cedidas por el estado,,2002,menos de 1 año,13575,27,230,27,0,,si,sas,,si,si,si,si,comision vecinal,,de 3 a 6 meses,no,si,,no ha habido interes en legalizar las tierras,,invalid,sas,municipalidad,iniciando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,pozo comunal,,100,irregular,0,si,entre 1 y 3 meses,,no,,,servicio de recolección pagado,,gas,,tierra,,tierra,,malo,únicamente en la calle principal del barrio,,,Ya contaba con alumbrado cuando habitaron la vivienda,en algunas de las calles del asentamiento,,no,,,,no,,infraestructura (caminos y alumbrado),si,no,no,no,no,,no,10,,votación,no,si,no,no,no,no,no,no,si,si,si,,entre 11 y 30 cuadras (1-3 km),,dentro del asentamiento,mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),,,,dentro del asentamiento,a menos de 10 cuadras (1 km),,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),,,,,,1,,,2,,3,,,buena ubicación,,,no
326,262,,santa catalina,san antonio,ns/nr,,e,una sra trajo a los vecinos otra era la presidenta,1999,ns/nr,10000,34,392,34,0,,si,privada,,si,si,si,ns/nr,un miembro del asentamiento,,mas de 2 años,si,si,,,en proceso,si,,conoc felipe cabrera,iniciando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,,letrina sanitaria conectado a pozo negro o pozo ciego,conexión regular,essap,,29,ANDE,100,si,entre 1 a 3 meses,,si,entre 3 y 6 meses,,servicio de recolección pagado,,gas,,,,,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,si,conop,senavitat,si,no,no,no,no,,no,22 familias,,eleccion,no,no,no,no,si,no,si,si,no,no,si,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,,,,,,,,,,,,colaboracion con vecinos,"tranquilo, hay mucho trabajo",,,no
325,405,6,san roque 4,san antonio,f,empleados de una empresa del lugar,mediante una asociacion social,,2008,menos de 1 año,30000,130,300,130,80,,no,sas,,si,en proceso,en proceso,si,sas,,1 año,no,si,,,en proceso,si,sas,,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,,tambor,pozo comunal,,,90,ANDE,80,si,entre 3 y 6 meses,,si,entre 6 meses y un año,,tira y quema,,gas,,ripio,,ripio,,malo,no,,hechos por los vecinos,,en algunas de las calles del asentamiento,,si,techo,25,5,no,,ayuda para la regularización de titulos,si,no,no,no,no,,no,300,,asamblea,no,si,no,no,no,no,no,no,no,no,no,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,regularización de titulos,"gente trabajadora, poca delincuencia",,,Programa de Vivienda
324,404,6,san roque 3,san antonio,f,empleados de una empresa del lugar,mediante una asociacion social,,2008,menos de 1 año,26000,104,300,104,35,,no,sas,,si,en proceso,en proceso,si,sas,,1 año,no,si,,,en proceso,si,sas,,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,pozo comunal,,,90,ANDE,80,si,entre 3 y 6 meses,,si,entre 6 meses y un año,,servicio de recolección pagado,,gas,,ripio,,ripio,,malo,no,,hechos por los vecinos,,en algunas de las calles del asentamiento,,si,techo,20,5,no,,ayuda para la regularización de titulos de la propiedad,si,no,no,no,no,,no,300,,asamblea,no,si,no,no,si,no,no,no,no,no,no,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,regularización de titulos de propiedad,"la mayoría trabaja, poca delincuencia.",,,Programa de Vivienda
323,461,6,san roque 2,san antonio,f,empleados de una empresa del lugar,mediante una asociacion social,,2008,menos de 1 año,34000,129,300,129,40,,no,sas,,si,en proceso,en proceso,si,sas,,1 año,no,si,,,en proceso,si,sas,,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,pozo comunal,,90,ANDE,80,si,entre 3 y 6 meses,,si,entre 6 meses y un año,,servicio de recolección pagado,,gas,,ripio,,ripio,,malo,no,,hechos por los vecinos,,en algunas de las calles del asentamiento,,si,techo,5,5,no,,ayuda para regularización de titulos de propiedad,si,no,no,no,no,,no,300,,asamblea,no,si,no,no,no,no,no,no,no,no,no,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,regularización de titulos,"gente trabajadora, poca delincuencia.",,,Programa de Vivienda
322,460,6,san roque 1,san antonio,f,"la mayoría eran empleados de una empresa en el lugar, esta empresa vendió el terreno a la sas",mediante una asociacion social,,2008,menos de 1 año,50000,229,300,228,50,,no,sas,,si,en proceso,en proceso,si,sas,,1 año,no,si,,,en proceso,si,sas,,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,pozo comunal,,95,ANDE,80,si,entre 3 y 6 meses,,si,entre 6 meses y un año,,tira y quema,,gas,,ripio,,ripio,,malo,no,,hechos por los vecinos,,en algunas de las calles del asentamiento,,si,"techo, viviendas de emergencia",15,5 años,no,,ayuda para la regularización de titulos de propiedad,si,no,no,no,no,,no,300,,asamblea,no,si,no,no,si,no,no,no,no,no,no,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,regularización de titulos de propiedad,"la mayoría trabaja, poca delincuencia",,,Programa de Vivienda
321,500,10,san rafael 2,san antonio,migracion por factores economicos,,ocupacion ilegal,,1999,mas de 10 años,15000,36,60,36,13,,no,sas,,si,si,si,si,sas,comisión vecinal,mas de 2 años,si,si,1 a 2 años,,,,,,,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,junta de saneamiento,,60,ANDE,54,si,entre 1 a 3 meses,,si,mas de un año,,servicio de recolección pagado,,gas,,,,,,bueno,en algunas de las calles del barrio,,hechos por los vecinos,,en algunas de las calles del asentamiento,,no,,,10 años,si,senavitat,techo,si,no,no,si,no,,no,54,,asemblea,no,no,no,no,no,no,no,no,no,no,no,,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),ellos no tienen ese problema.,2,1,,,,,,,3,,san rafael 2 falta empedrado,trabajan todos juntos y estan por hacer otro asentamiento.,,,no
320,525,10,san rafael,san antonio,migracion por factores economicos,,ocupacion ilegal,,1999,mas de 10 años,15000,36,600,45,13,,si,sas,,si,si,si,si,sas,,mas de 2 años,si,si,1 a 2 años,,,,,,,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,pozo comunal,,60,ANDE,45,si,entre 1 y 3 meses,,si,mas de un año,,servicio de recolección pagado,,gas,,,,tierra,,bueno,en algunas de las calles del barrio,,hechos por los vecinos,,en algunas de las calles del asentamiento,,no,,,10 años,si,senavitat,techo,si,no,no,no,no,,no,54,,asamblea,no,no,no,no,no,no,no,no,no,no,no,,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),,2,1,,,,,,,,,trabajan todos juntos y están por hacer otro asentamiento,,,,no
319,457,5,san miguel arcangel,san antonio,f,varios motivos,mediante una asociacion social,,2007,menos de 1 año,16882,83,2000,82,2,,si,fiscal,,si,si,no,si,un miembro del asentamiento,,de 3 a 6 meses,no,si,,,en proceso,no,,,finalizando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a alcantarillado,,conexión regular,junta de saneamiento,,100,irregular,0,si,entre 1 a 3 meses,,no,,,servicio de recolección pagado,,gas,,ripio,,ripio,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,techo / empedrado,si,no,no,no,no,,no,15,,por asamblea - votos,no,no,no,no,si,si,no,si,no,si,si,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,aprobacion de planos /  venta deviviendas,"lindo lugar, buena distancia a la ruta principal,",,,no
